field,value
Pavadinimas,"6 vijos, MB"
Kreditavimo rizika,Žema
Šūkis,Skaitmeninio augimo strateginis partneris.
Veiklos sritys,Reklamos paslaugos
Įmonės aprašymas,Holistiniai rinkodaros ir pardavimų sprendimai pritaikyti JUMS. Mes pasiruošę panaudoti per daugelį metų sukauptas žinias Jūsų įmonės augimui ir strateginių tikslų pasiekimui.
Įmonės kodas,304405052
PVM mokėtojo kodas,LT100018834410
Įmonės amžius,9 metai 8 mėnesiai 23 dienos
Vadovas,Henrikas Senkus
Adresas,"Polocko g. 51-11, LT-01205 Vilnius"
Mobilus telefonas,+370 650 97123
Tinklalapis,http://6loops.lt
Įvertinimas,7 / 10 (įvertino 1)
LinkedIn paskyra,https://www.linkedin.com/company/6-loops/
Darbuotojai,1 darbuotojas - apdraustasis
Eksportas,"20% nuo apyvartos Jungtinės Amerikos Valstijos, Latvija, Estija"
SODRA (VSDFV),"skola 94,55 € (2026-06-20 dienos pradžioje)"
Kredito rizika,Žema
Ataskaita,Išsami ataskaita Tik 45 Eur Ataskaitoje yra specifinių duomenų
